ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
4828,6,3,3,2,40.51095552,40.51235256,-74.24788561,-74.24604275
4830,11,5,5,2,40.51095552,40.51235256,-74.24419988,-74.24235702
4831,2,1,0,4,40.51095552,40.51235256,-74.24235702,-74.24051415
4832,8,4,2,4,40.51095552,40.51235256,-74.24051415,-74.23867128
4833,9,6,3,4,40.51095552,40.51235256,-74.23867128,-74.23682842
4834,1,0,1,0,40.51095552,40.51235256,-74.23682842,-74.23498555
4835,2,0,2,0,40.51095552,40.51235256,-74.23498555,-74.23314269
4836,2,2,0,4,40.51095552,40.51235256,-74.23314269,-74.23129982
4840,3,1,2,0,40.51095552,40.51235256,-74.22577123,-74.22392836
4848,1,0,1,0,40.51095552,40.51235256,-74.2110283,-74.20918543
5147,9,4,5,1,40.51235256,40.51374959,-74.25157134,-74.24972848
5148,8,4,3,2,40.51235256,40.51374959,-74.24972848,-74.24788561
5149,4,2,2,2,40.51235256,40.51374959,-74.24788561,-74.24604275
5150,2,2,0,4,40.51235256,40.51374959,-74.24604275,-74.24419988
5152,11,4,7,0,40.51235256,40.51374959,-74.24235702,-74.24051415
5153,2,1,1,2,40.51235256,40.51374959,-74.24051415,-74.23867128
5154,8,3,5,0,40.51235256,40.51374959,-74.23867128,-74.23682842
5155,3,1,1,2,40.51235256,40.51374959,-74.23682842,-74.23498555
5156,1,1,0,4,40.51235256,40.51374959,-74.23498555,-74.23314269
5157,2,0,0,0,40.51235256,40.51374959,-74.23314269,-74.23129982
5168,2,2,0,4,40.51235256,40.51374959,-74.21287117,-74.2110283
5171,4,2,2,2,40.51235256,40.51374959,-74.20734257,-74.2054997
5172,1,0,1,0,40.51235256,40.51374959,-74.2054997,-74.20365684
5173,1,1,0,4,40.51235256,40.51374959,-74.20365684,-74.20181397
5176,4,2,0,4,40.51235256,40.51374959,-74.19812824,-74.19628538
5177,2,1,1,2,40.51235256,40.51374959,-74.19628538,-74.19444251
5178,1,1,0,4,40.51235256,40.51374959,-74.19444251,-74.19259964
5469,24,11,12,2,40.51374959,40.51514663,-74.24972848,-74.24788561
5470,9,3,6,0,40.51374959,40.51514663,-74.24788561,-74.24604275
5471,8,2,5,0,40.51374959,40.51514663,-74.24604275,-74.24419988
5472,2,2,0,4,40.51374959,40.51514663,-74.24419988,-74.24235702
5474,2,0,2,0,40.51374959,40.51514663,-74.24051415,-74.23867128
5475,1,1,0,4,40.51374959,40.51514663,-74.23867128,-74.23682842
5476,6,3,2,4,40.51374959,40.51514663,-74.23682842,-74.23498555
5478,2,1,0,4,40.51374959,40.51514663,-74.23314269,-74.23129982
5492,1,0,0,0,40.51374959,40.51514663,-74.20734257,-74.2054997
5493,4,1,3,0,40.51374959,40.51514663,-74.2054997,-74.20365684
5494,5,2,3,0,40.51374959,40.51514663,-74.20365684,-74.20181397
5495,1,0,1,0,40.51374959,40.51514663,-74.20181397,-74.19997111
5497,1,0,0,0,40.51374959,40.51514663,-74.19812824,-74.19628538
5498,10,2,8,0,40.51374959,40.51514663,-74.19628538,-74.19444251
5792,7,4,3,2,40.51514663,40.51654366,-74.24604275,-74.24419988
5793,5,2,1,4,40.51514663,40.51654366,-74.24419988,-74.24235702
5794,1,0,1,0,40.51514663,40.51654366,-74.24235702,-74.24051415
5795,13,3,9,0,40.51514663,40.51654366,-74.24051415,-74.23867128
